Date,RA-DRL,PPO-log_return,PPO-dsr,PPO-mdd,Market Index,1/N Strategy,MVO
2022-09-13,1094078.8927729542,1115278.263794897,1065892.5582066418,1067362.4259841028,1029151.7756286548,1061253.5196177487,869728.7520311023
2022-09-14,1095854.9953158256,1109396.2258329773,1067236.1704036207,1070189.999052749,1030148.3098273354,1062849.204845882,890788.8841991309
2022-09-15,1081612.2037927797,1107718.8777867137,1061628.6459090975,1060975.22397438,1024415.4432880859,1054198.2350133897,876330.5294462251
2022-09-16,1080351.2193653407,1100853.3769918587,1060208.4562016518,1057011.6778968642,1019803.1849804248,1049760.2252222796,853579.3290411792
2022-09-19,1084422.1401216353,1107861.0897779881,1064604.6263762543,1064170.0679765064,1026329.8022208218,1056332.424570353,856034.6355830607
2022-09-20,1074548.168211141,1096150.4643246029,1056219.6102005956,1052877.1465717813,1015958.8932389474,1044730.6894123857,852651.9225429717
2022-09-21,1057671.6701103952,1078026.466789436,1037601.4764713901,1033867.6352368727,998672.8602011343,1026177.2045324328,845722.8477977386
2022-09-22,1059878.8920245222,1072728.96858662,1034649.6575369586,1033019.0047011826,995129.3187456735,1022062.2212361098,845068.2531375181
2022-09-23,1046143.9511615526,1058517.8088964853,1020692.3071722117,1015151.1171419107,979040.4062597418,1004451.4619424955,789854.2698045433
2022-09-26,1039209.8952303578,1042028.0523253029,1008689.2822438071,1003620.8634404971,968135.1388517672,993292.780241067,769067.1897103573
2022-09-27,1032499.1896065545,1035108.4760017577,1002876.208677248,1000262.8168633962,963972.1965601508,989053.8588258673,769394.5350876389
2022-09-28,1048643.373006006,1050069.14444467,1019846.8981367517,1018109.3296664637,982128.3633756201,1007230.453733853,795364.9440092323
2022-09-29,1030522.5889260888,1047246.1500680736,1000924.3761181751,997572.805505061,966970.4584897398,990403.9500923852,789854.2698045435
2022-09-30,1011526.3777008895,1034580.2927437045,984959.2271767453,976400.4258266524,950423.9583855694,970760.357818137,783852.7937462024
2022-10-03,1039419.544689386,1058900.2938430205,1010225.7835750725,1004677.7146632527,975747.6623676737,997880.7104105036,827827.3906069628
2022-10-04,1067847.5962893239,1086452.4961716135,1035748.308175225,1032982.0126217274,1003058.1664236023,1026149.5414964551,860017.3616969048
2022-10-05,1066707.4742348392,1079416.6340009226,1032421.7922942408,1031624.6006831145,1001653.6095979536,1024143.9686371792,864927.6892249368
2022-10-06,1053407.9632915384,1062110.35997634,1016578.7849226326,1020662.3140408061,990174.9521410267,1011690.2385113911,880695.0802517127
2022-10-07,1021417.9188563777,1042546.428671309,993802.273611367,997897.1032530047,969325.538726866,989556.7122730209,873111.5185968565
2022-10-10,1012404.1156957775,1045429.3132931434,992101.9802478168,994947.0756945923,966218.4535309143,986670.5710845672,857343.9178536534
