,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-08-28,0.022382665,0.041086953,0.61566895,0.042374376,0.00021257183,0.00022620342,0.005067516,0.0027053237,0.0036466722,0.008728462,0.00065510056,0.0023078008,0.054986995,0.019722216,0.0031448219,0.00030234427,0.014547236,0.07294805,0.006449279,0.030813348,0.0001674644,0.013036146,0.0038914667,0.0011048921,0.015941964,0.00053956395,0.008986046,0.001778159,0.00657722
2019-08-29,0.026180673,0.04019005,0.60548097,0.04742835,0.0002808109,0.0002911993,0.0064031323,0.003071933,0.003858513,0.0112218745,0.00073778786,0.0028980912,0.052514,0.019497156,0.00419241,0.00039953855,0.015540037,0.069069885,0.007035205,0.027916918,0.00025203172,0.014456996,0.005256638,0.0013068295,0.013832487,0.00064604776,0.010688668,0.0024010683,0.006950529
2019-08-30,0.029749809,0.040847164,0.575161,0.055892214,0.00038802915,0.0003887974,0.008369908,0.003915246,0.004555592,0.013768923,0.00092304946,0.003607657,0.05222965,0.020441627,0.005653471,0.0005604596,0.016763242,0.06751196,0.008062944,0.027671317,0.0003829133,0.01650937,0.006905299,0.0016885608,0.013866595,0.00082947477,0.012278698,0.0032121092,0.007864945
2019-09-03,0.0247017,0.035495304,0.6376816,0.052035294,0.00022053187,0.00022230987,0.0062776045,0.00279936,0.0032736654,0.010803792,0.00056226354,0.0025226853,0.048468065,0.017145308,0.00405757,0.00033039603,0.013400428,0.060819846,0.0061926483,0.023691151,0.00021074369,0.013248056,0.005120157,0.0011191568,0.011335998,0.0005148943,0.009496073,0.0021808727,0.0060726837
2019-09-04,0.031111883,0.042439636,0.561353,0.05359815,0.00042442165,0.00042836313,0.008537135,0.0041613653,0.0051003094,0.014159786,0.0010337044,0.0038914226,0.05369053,0.022141173,0.0058257305,0.0006161668,0.01699548,0.069676094,0.008555094,0.02959174,0.00041338158,0.017371342,0.007075934,0.0018176438,0.0151171805,0.0009095757,0.012355708,0.0033422865,0.0082657635
2019-09-05,0.031642687,0.053731848,0.39797553,0.09013676,0.0014776976,0.0014050637,0.02529078,0.015728822,0.013725193,0.02761589,0.0026034082,0.009089902,0.05427056,0.019804668,0.020397488,0.0023951216,0.016488414,0.049399227,0.011991891,0.03425923,0.0019487601,0.031487856,0.021331374,0.0037103887,0.013864492,0.0020351254,0.022954037,0.008978871,0.014258968
2019-09-06,0.029868342,0.06420206,0.2942591,0.08378139,0.0026857883,0.0025833112,0.03135523,0.025449796,0.0232559,0.028187625,0.0052823857,0.011867622,0.05697209,0.023535201,0.025705371,0.004304967,0.019514287,0.05176653,0.015546515,0.04661753,0.0034062574,0.03786913,0.024535106,0.0057299244,0.020367162,0.0034385761,0.026766641,0.011724221,0.019421939
2019-09-09,0.04819479,0.024101337,0.5136366,0.114355884,0.00072154513,0.00063549005,0.023371926,0.0067477436,0.004492451,0.034120686,0.00077605335,0.0064574364,0.034390148,0.012047782,0.020629384,0.0011892009,0.011333007,0.03297109,0.007875216,0.012290933,0.0013139424,0.023424512,0.023677154,0.002337075,0.0045967936,0.0010827549,0.016911753,0.009191151,0.007126252
2019-09-10,0.05158424,0.014654356,0.5290392,0.13790254,0.0006579852,0.0005585966,0.022452505,0.005967815,0.0030419636,0.03654815,0.0006308465,0.0049094683,0.027730934,0.009896349,0.024946298,0.0010364729,0.009767949,0.026459755,0.0060322103,0.007998609,0.0012760207,0.018528705,0.023355553,0.0019964748,0.002621256,0.0009016827,0.015519114,0.008832511,0.0051523945
2019-09-11,0.042515934,0.03600141,0.37097278,0.12222779,0.001875094,0.0017205534,0.03565138,0.015006552,0.010646622,0.038602658,0.0024442559,0.010602327,0.040533792,0.016585968,0.029362183,0.002986625,0.015517256,0.038432345,0.0125047015,0.02105271,0.0030652108,0.031222481,0.034416463,0.0046850713,0.008406025,0.0023295863,0.024308378,0.013877012,0.01244689
2019-09-12,0.04354812,0.040882945,0.35926813,0.10886857,0.0020856394,0.001953864,0.032789268,0.015769357,0.012941301,0.036788203,0.0030408276,0.011106757,0.043163225,0.019025536,0.027547905,0.0033032417,0.017226294,0.04304539,0.013291442,0.025230853,0.0032116007,0.03219328,0.03207141,0.0050914465,0.010872238,0.002698439,0.02558871,0.014067806,0.013328283
