Date,PPO-log_return,PPO-dsr,PPO-mdd,Market Index (^DJI),1/N Equal Weight
2021-08-26,1230222.1147207767,1168963.9458372665,1162496.1755313878,1165075.7187634576,1172741.71158416
2021-08-27,1239414.7500637332,1176701.4765632928,1169753.6303262166,1173105.118105555,1180772.1996873957
2021-08-30,1235028.709801184,1176882.0826696695,1170820.7523021009,1171253.5716519784,1179625.8879289115
2021-08-31,1235723.3098931308,1176850.1491334117,1166979.151133958,1169959.5828837804,1178085.2428482815
2021-09-01,1235005.716860107,1175415.1663704347,1165804.9763059013,1168364.8438295657,1176472.3532573273
2021-09-02,1239687.297700312,1179659.851478289,1172612.3371614025,1172708.7274191724,1180772.1799889535
2021-09-03,1235034.1024829694,1177599.6942323034,1170705.5687383506,1170236.1645821368,1178240.906121554
2021-09-07,1213911.1051254012,1167689.3381048935,1161905.754748569,1161332.948014531,1168962.3393999757
2021-09-08,1219072.322669442,1166795.9565326702,1158187.7682496286,1159052.3121971495,1167218.464738619
2021-09-09,1212475.8496753538,1159191.4349753163,1153014.901416518,1154033.3883222553,1161756.2420529327
2021-09-10,1205204.5181588058,1150329.2814062568,1146311.9988553263,1145045.1293445944,1154369.6015303894
2021-09-13,1217794.2061275062,1161436.0140923355,1153885.5523378586,1153710.795836696,1162350.315876776
2021-09-14,1204827.884722915,1152834.7619861416,1145269.6973031105,1144047.6258175317,1152479.38032998
2021-09-15,1210128.3813056748,1160605.2494633347,1153648.7070905196,1151883.159483211,1160097.3782084235
2021-09-16,1199931.2511184795,1157085.885809921,1150509.4600039802,1149796.3893422473,1156729.3024168315
2021-09-17,1189348.9619196549,1151290.5908154931,1142263.5397367869,1144289.440937917,1149909.7096609517
2021-09-20,1169235.3003362005,1134921.7554147833,1123990.0749902176,1123960.8153525074,1130955.3504368817
2021-09-21,1164686.650872905,1134892.6186961879,1123921.5969781757,1122285.6866644712,1128643.2099530813
2021-09-22,1177110.8147732527,1145995.8782632665,1135323.9248754298,1133484.7898160035,1140104.96222374
2021-09-23,1187816.1272709772,1159237.2395381455,1151877.9689662177,1150243.0558607143,1157106.1170877097
2021-09-24,1186681.9279222838,1161602.0020092863,1150696.7558515992,1151340.8525643775,1157384.9811523792
2021-09-27,1192146.2932136995,1163334.21944022,1154157.2750225693,1153702.2657469334,1160712.2584607564
2021-09-28,1171390.1882541848,1146452.5205837726,1139023.695070722,1134863.4332629042,1144779.342152018
2021-09-29,1173963.388257196,1153385.0991429288,1143302.9167566693,1137865.378640345,1148019.2594672826
2021-09-30,1152455.5490373021,1136988.5373692997,1128118.5158943478,1119773.833717015,1131445.8041131063
2021-10-01,1160752.8967975015,1156995.1886505708,1146121.9148553433,1135739.3183889608,1149607.9777336626
2021-10-04,1153174.57115043,1148364.1252783537,1139685.3908845836,1125034.5727122945,1141488.462888016
2021-10-05,1168758.001937885,1156347.3003278042,1147807.1918060982,1135349.2606480075,1150102.2148118224
2021-10-06,1177041.829785351,1159172.9739943387,1149255.0981026504,1138734.5430896191,1151242.5906813333
2021-10-07,1183152.7060105524,1167974.5990165782,1161161.0511320655,1149916.1983302736,1162197.990826592
2021-10-08,1185036.0462898065,1166298.944109115,1159578.4704158583,1149628.6309102536,1161676.969530542
2021-10-11,1176811.2383596294,1157736.9863605052,1152785.2954351369,1141350.6957709882,1153201.927048275
2021-10-12,1176196.331186621,1149183.2179404325,1147049.3373467196,1137455.805087966,1147540.047698971
2021-10-13,1178477.7764361138,1146522.0339277901,1147332.6361006694,1137438.227933304,1146710.0934862243
2021-10-14,1191098.5972122382,1162341.9395606713,1163754.6372385398,1155131.1850259185,1162740.4963306033
2021-10-15,1202353.1484789562,1175634.006574878,1172210.0453066998,1167776.913854882,1172855.3202406853
2021-10-18,1198330.9271803251,1173117.511472319,1170783.1722990344,1166580.7626313826,1169590.6767231901
2021-10-19,1203932.3326375047,1180588.7850870334,1179366.7045764253,1173155.0062062866,1178362.7006921824
2021-10-20,1210152.9155049226,1188099.2259850316,1187575.5226907798,1178185.1742904128,1185458.8997600798
2021-10-21,1207750.2788981078,1181701.029700114,1189119.2333272481,1177977.9965042141,1182069.9839535353
2021-10-22,1214686.4055716705,1179497.3742443172,1181075.4507590465,1180424.4520968252,1179595.0199422822
2021-10-25,1214651.742551331,1178606.0075366264,1182981.7298392442,1182546.2473033282,1181202.0495740492
2021-10-26,1215404.898379505,1179166.7118329292,1184134.655409541,1183066.7120226186,1181420.7464319011
2021-10-27,1206687.6281793052,1168592.6357953597,1178413.1082318076,1174259.523586732,1170825.5483444254
2021-10-28,1217697.5642168887,1176563.922042574,1193227.8424018733,1182193.2825284633,1180437.5181814332
2021-10-29,1214978.7057856894,1179652.0389260775,1198309.631332361,1185140.5577851543,1182970.4916598434
2021-11-01,1217493.5654865373,1182400.3908077648,1202224.087770448,1188259.9857625046,1187483.4899096275
2021-11-02,1222925.1670378721,1186733.8049803637,1207272.1180948706,1192852.0174179263,1192627.3699057528
2021-11-03,1224797.643610106,1190977.3020550609,1212218.8867438622,1196324.4101701418,1196604.0286543898
2021-11-04,1212045.937110495,1188150.2034170656,1213779.569721824,1195221.0559837546,1194558.3877766365
2021-11-05,1222862.1088470991,1192075.6894333067,1216193.6487052578,1201961.3778214564,1201342.7481478676
2021-11-08,1220896.1785023124,1196011.4832938313,1218493.8620583254,1205411.2821552071,1204008.3571738647
2021-11-09,1215602.42848451,1191346.2365739841,1218270.8836860713,1201697.7205015281,1201217.5449128833
2021-11-10,1215012.7784063455,1189929.0171779543,1210430.311260338,1193755.6899576029,1196613.8641180838
2021-11-11,1212410.782405854,1186781.8108949717,1209172.0671662944,1188504.51500236,1190600.3978482797
2021-11-12,1215923.7034810665,1191264.081643466,1215202.624942902,1194429.5670488318,1194622.4016672191
2021-11-15,1216142.5056905728,1193159.9496229077,1217816.2542147012,1194004.0965109866,1196016.4992165286
2021-11-16,1213755.7270585336,1194093.9655364985,1218776.9600675376,1195816.223610358,1195095.2537177408
2021-11-17,1200295.9140523516,1186934.9876360903,1216234.554232859,1188829.4338760367,1188403.2524581808
2021-11-18,1192049.4909080379,1184758.947371415,1215727.579057468,1186840.8890111248,1182932.474475724
2021-11-19,1182152.1708134052,1175772.0339377988,1206445.7269090565,1177941.679000832,1173952.7477179698
2021-11-22,1197094.104972136,1175213.3884338716,1210243.7185857417,1178513.0657711278,1178095.726933403
2021-11-23,1211826.4306391594,1182809.4105937833,1215099.9500388466,1184950.0524471276,1184119.2598825083
2021-11-24,1200081.0909976256,1183191.80300161,1214781.1458735531,1184638.3164394475,1183945.7105790118
2021-11-26,1171271.7204450862,1153080.8636968455,1185782.6078948735,1154693.8240599195,1155068.7515265632
2021-11-29,1174240.019603413,1159645.1853861883,1192814.5834861496,1162522.1200736794,1160575.7049495194
2021-11-30,1141527.3369369009,1140521.3790816327,1172970.7576480804,1140942.414656452,1139206.3598357448
2021-12-01,1137051.1928672069,1134929.2042444954,1156635.6353156525,1125667.0917925544,1125743.1967243697
2021-12-02,1156285.4077324448,1152026.9570278304,1176025.7137768692,1146106.2208135223,1145546.7427925563
2021-12-03,1158458.2201456171,1151600.898583068,1174353.2898414533,1144130.6003270384,1144958.0828683013
2021-12-06,1182868.635234725,1174855.199151094,1192785.5431387334,1165535.955879274,1165302.3024452922
2021-12-07,1194230.5237363041,1189898.389519162,1207445.3029158413,1181827.651862739,1180312.165046643
2021-12-08,1192458.444209047,1192857.138890212,1207387.3885642379,1182996.2741601868,1181267.5726598564
2021-12-09,1192880.819023819,1189631.7289565396,1203883.2605878504,1182994.3355034227,1180183.2960642786
2021-12-10,1200096.4330855464,1196119.2939422303,1212871.7284774322,1190150.8223265018,1187750.0279108882
2021-12-13,1196511.8973695636,1186550.492757218,1204910.640002469,1179561.8790805493,1179013.9811747088
2021-12-14,1206058.0536352757,1186324.028369049,1200920.2304689276,1176029.2587248601,1177849.0460807781
2021-12-15,1211775.8945180133,1198110.3062639784,1211653.192337519,1188709.6248880103,1188768.7136215288
2021-12-16,1231019.404783057,1202716.9873888323,1211477.0408067442,1187724.011789101,1192252.53584932
2021-12-17,1205932.859621179,1190070.2328006092,1196691.77866652,1170115.4508876204,1177337.819615507
2021-12-20,1187088.6809867842,1178229.4159679385,1184466.3253662463,1155779.7303354288,1163914.2357749888
2021-12-21,1199902.5585629928,1193839.6808719677,1201733.3991202544,1174325.9548918514,1181720.5160778607
2021-12-22,1202509.095859821,1203513.2635606911,1210035.2951241913,1182967.8405276455,1188853.5068671724
2021-12-23,1208994.0376348156,1208984.8757097465,1216385.1185926616,1189474.8773347244,1195533.4943967033
2021-12-27,1219167.7908165678,1219828.7896300491,1229482.9963973747,1201115.3480095682,1206783.484107861
2021-12-28,1224034.7917145758,1223187.7831277358,1231473.1675202125,1204286.0857692773,1210365.0737110816
2021-12-29,1225800.6714025014,1224898.002979463,1234108.3152727776,1207277.691643976,1212805.8940257574
2021-12-30,1222285.337236818,1221799.2467481098,1230272.9233254462,1204281.6914806117,1210092.4605970355
2021-12-31,1221568.5546781092,1218810.1714728905,1228851.416878121,1202303.873849795,1208033.4476197017
2022-01-03,1231905.0069891033,1233948.1123438852,1236067.7815307218,1210468.2037026794,1217412.2592325958
2022-01-04,1255351.93504071,1245918.472183139,1245984.4655572935,1217568.2109920287,1226858.01307317
2022-01-05,1251356.4988922523,1238682.2105153408,1237868.371584651,1204580.503109864,1219131.2194256838
2022-01-06,1249394.8434006458,1230783.7849988353,1233795.8829706926,1198934.617637434,1216908.5133519312
2022-01-07,1258918.8990308237,1232076.6688786056,1236469.856421389,1198775.518538987,1221025.4086334205
2022-01-10,1252855.2306713315,1231346.7659212982,1231760.150850658,1193389.413072957,1216583.5606830649
